id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19791981.0000000000000000,21000000.0000000000000000,1903405475693.1238032219036705,26421221313.1263982099561244,96170.5387496645132805,-2.9761020628186846,98132.5204643823929974,https://blockchain.info/
ethereum,2,ETH,Ethereum,120444957.3446624700000000,,440009977253.8931026413645121,20651327281.1631340593414051,3653.2038115532795079,-7.3857210832063095,3812.1951857991916831,https://etherscan.io/
tether,3,USDT,Tether,138308884820.0966000000000000,,138481649108.8521806880518212,65761322757.5482215392287799,1.0012491192375696,0.0535644323087694,1.0000378403120340,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,112804969462.5719179870542232,1040594705.6286388243342341,676.2841312253553434,-6.4607745867579861,708.7171794663011159,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
solana,5,SOL,Solana,476108749.3777251000000000,,99389492298.1397703978721681,2748944981.2405874511745876,208.7537614631993141,-9.8565766024209207,224.3821649831385021,https://explorer.solana.com/
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,94157307009.0696796378995040,5201420966.0469447457830091,2.0737654747693261,-16.3318834598543084,2.3547720309020301,https://xrpcharts.ripple.com/#/graph/
dogecoin,7,DOGE,Dogecoin,147136166383.7052000000000000,,57192837727.8168456152486303,4949150259.8253983480319550,0.3887068634007223,-14.1319708959529684,0.4302930644857065,http://dogechain.info/chain/Dogecoin
usd-coin,8,USDC,USDC,40668132797.3498400000000000,,40684103789.6950295640448228,7221522809.5272298745141265,1.0003927151616420,0.0295619499340224,1.0000255605601383,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
steth,9,STETH,Lido Staked ETH,9839267.4285712300000000,,35412150207.4124448072236554,1360736.7111107361737571,3599.0636970169921528,-8.0543640000962738,3696.3140408921898654,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84
cardano,10,ADA,Cardano,35102215549.8114850000000000,45000000000.0000000000000000,33576131145.7920478696919621,1613983318.8778696239610022,0.9565245560681530,-17.6804899478043730,1.0827124084444747,https://cardanoexplorer.com/
tron,11,TRX,TRON,86263521420.0304400000000000,,21289324621.3132953096033466,871396907.7042980334919673,0.2467940593063930,-21.0931323125154396,0.2855428242958451,https://tronscan.org/#/
avalanche,12,AVAX,Avalanche,409418637.1203044000000000,715748719.0000000000000000,17483728244.2002258078515879,690760583.5140907584070605,42.7037918136168573,-17.6296397838340726,48.3334198508079917,https://avascan.info/
shiba-inu,13,SHIB,Shiba Inu,589255640830938.1000000000000000,,14886599779.1177000871594886,996106933.9485250117503624,0.0000252633980018,-18.6440531900384508,0.0000292183478500,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
chainlink,14,LINK,Chainlink,626849970.4527867000000000,,13140503043.1756126134575330,1104342444.3314696970659694,20.9627561020445697,-22.2806307698019425,24.5615119636434462,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,136635.9540245600000000,,13112743613.6072978247030042,72575888.3815312102620542,95968.4711627974008433,-2.9435102553748979,97688.3293331904317177,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
polkadot,16,DOT,Polkadot,1522267060.0000000000000000,,12274537925.8890798088421700,663344495.2643682697493270,8.0633275516643445,-20.6233207665724533,9.2679415685900968,https://polkascan.io/polkadot
stellar,17,XLM,Stellar,30161095468.5410300000000000,50001806812.0000000000000000,11583061577.3621322913034442,529947445.2976587444433992,0.3840398167713646,-19.2544272288917180,0.4359209713638949,https://dashboard.stellar.org/
bitcoin-cash,18,BCH,Bitcoin Cash,19799878.1250000000000000,21000000.0000000000000000,10499121353.7067729391350763,403656662.5934781654456075,530.2619181504064404,-13.1514301420253400,587.5494701925410118,https://blockchair.com/bitcoin-cash/blocks
uniswap,19,UNI,Uniswap,600483073.7100000000000000,,9275978389.6105941775554552,551132993.4931724029070979,15.4475268258608351,-15.0448630673934381,16.8559923497399274,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
unus-sed-leo,20,LEO,UNUS SED LEO,924560072.9000000000000000,,8841188237.7843761284842021,932406.7721179532147850,9.5625892756247490,2.1122658751334398,9.3888200871279477,https://eospark.com/account/bitfinexleo1
litecoin,21,LTC,Litecoin,75288618.3041093600000000,84000000.0000000000000000,7965167940.4913573095435390,954261524.5610864977628746,105.7951137888873583,-19.2743091118398118,119.7953923714428959,http://explorer.litecoin.net/chain/Litecoin
near-protocol,22,NEAR,NEAR Protocol,1217906155.0000000000000000,,7453768438.6866989294778110,300514929.1888895132731657,6.1201500691050362,-18.5619700457688874,6.9737106726315449,https://explorer.nearprotocol.com/
internet-computer,23,ICP,Internet Computer,475498504.4927335400000000,,5392062343.7181629667871108,159974557.2968843253327783,11.3398092586441841,-18.9269484716697824,12.9687776621958188,https://www.dfinityexplorer.org/#/
multi-collateral-dai,24,DAI,Multi Collateral DAI,5365382702.6648720000000000,,5368782189.0093007143058251,15174080.6969627000580990,1.0006335962470562,0.0185369957445272,1.0001577940152481,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
sp8de,25,SPX,Sp8de,7783756906.1800000000000000,,4636855008.7743617882527397,7953445.7753495218933402,0.5957091240982718,-13.5994633563973195,0.6398925094281861,https://etherscan.io/token/0x05aaaa829afa407d83315cded1d45eb16025910c
ethereum-classic,26,ETC,Ethereum Classic,149882505.2790491300000000,210700000.0000000000000000,4472615554.9888967756080447,320917029.2079593120692095,29.8408112852253460,-17.1624345227204798,33.6492180360544559,http://gastracker.io/
vechain,27,VET,VeChain,80985041177.0000000000000000,86712634466.0000000000000000,4237218590.3280356767496246,145960463.9244021730970734,0.0523210030981798,-19.0958684304855853,0.0596070490682624,https://explore.veforge.com/
crypto-com-coin,28,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,4113012278.1990454447126248,33105228.9093951218363358,0.1628076653222694,-17.1117884841138167,0.1836760542026401,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
hedera-hashgraph,29,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,4107422008.4967121433539928,487372343.0182514295191577,0.2769156319124426,-12.0988203898304955,0.2945358902011173,https://hash-hash.info/
fetch,30,FET,Artificial Superintelligence Alliance,2520000000.0000000000000000,2630547141.0000000000000000,4070609782.7619546000000000,305743817.3643981813231616,1.6153213423658550,-18.3261405275665074,1.8326772909651599,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
aave,31,AAVE,Aave,15009567.4036497600000000,,3759150267.3703026528203016,274600279.1887971523855879,250.4502739003803175,-9.6054909623305459,265.8720014049798434,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
filecoin,32,FIL,Filecoin,609598026.0000000000000000,,3670766400.4566351712128288,461633865.0434824032549417,6.0216179250827088,-20.7425850211596412,6.9011664352611746,https://protocol.ai
algorand,33,ALGO,Algorand,8308507772.8941980000000000,10000000000.0000000000000000,3343492643.4006686207725049,266336814.3857220540821765,0.4024179473368888,-16.5358560420056724,0.4483803801479318,https://algoexplorer.io/
okb,34,OKB,OKB,60000000.0000000000000000,,3238197119.2876041000000000,215820.5893066525711655,53.9699519881267350,-8.8573665575521159,56.1663376567052334,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
