priceUsd,time,circulatingSupply,date
77252.1110641402377278,1731211200000,19780121.0000000000000000,2024-11-10T04:00:00.000Z
78812.7138737883208033,1731214800000,19780156.0000000000000000,2024-11-10T05:00:00.000Z
79168.5464129395067965,1731218400000,19780156.0000000000000000,2024-11-10T06:00:00.000Z
78860.2275600194646506,1731222000000,19780200.0000000000000000,2024-11-10T07:00:00.000Z
78842.8116876597073281,1731225600000,19780200.0000000000000000,2024-11-10T08:00:00.000Z
79093.3919005772849608,1731229200000,19780231.0000000000000000,2024-11-10T09:00:00.000Z
79369.5456234526295788,1731232800000,19780231.0000000000000000,2024-11-10T10:00:00.000Z
79524.4260823725591699,1731236400000,19780268.0000000000000000,2024-11-10T11:00:00.000Z
79930.9571212595545030,1731240000000,19780268.0000000000000000,2024-11-10T12:00:00.000Z
79615.3905105557091659,1731243600000,19780312.0000000000000000,2024-11-10T13:00:00.000Z
79729.5355618483684431,1731247200000,19780312.0000000000000000,2024-11-10T14:00:00.000Z
79478.3917017198170062,1731250800000,19780343.0000000000000000,2024-11-10T15:00:00.000Z
79665.3540215132300141,1731254400000,19780343.0000000000000000,2024-11-10T16:00:00.000Z
79700.1015714416290866,1731258000000,19780396.0000000000000000,2024-11-10T17:00:00.000Z
80353.6843878568288258,1731261600000,19780396.0000000000000000,2024-11-10T18:00:00.000Z
80628.0331700305817828,1731265200000,19780434.0000000000000000,2024-11-10T19:00:00.000Z
79667.0153827726745309,1731268800000,19780434.0000000000000000,2024-11-10T20:00:00.000Z
79032.7717050594150530,1731272400000,19780465.0000000000000000,2024-11-10T21:00:00.000Z
79805.9457839272774944,1731276000000,19780465.0000000000000000,2024-11-10T22:00:00.000Z
80524.8403136767725744,1731279600000,19780525.0000000000000000,2024-11-10T23:00:00.000Z
80392.3158627854546851,1731283200000,19780525.0000000000000000,2024-11-11T00:00:00.000Z
80554.3024298081924860,1731286800000,19780550.0000000000000000,2024-11-11T01:00:00.000Z
81244.4464118042859929,1731290400000,19780550.0000000000000000,2024-11-11T02:00:00.000Z
81416.9541464914069929,1731294000000,19780587.0000000000000000,2024-11-11T03:00:00.000Z
81643.4657373941277131,1731297600000,19780587.0000000000000000,2024-11-11T04:00:00.000Z
81443.4946353222355314,1731301200000,19780634.0000000000000000,2024-11-11T05:00:00.000Z
80640.4831003513298113,1731304800000,19780634.0000000000000000,2024-11-11T06:00:00.000Z
80935.8539868342030976,1731308400000,19780668.0000000000000000,2024-11-11T07:00:00.000Z
81167.9500061007108369,1731312000000,19780668.0000000000000000,2024-11-11T08:00:00.000Z
81324.8333971248171638,1731315600000,19780684.0000000000000000,2024-11-11T09:00:00.000Z
81731.0046126511203006,1731319200000,19780684.0000000000000000,2024-11-11T10:00:00.000Z
82026.7367479721462138,1731322800000,19780725.0000000000000000,2024-11-11T11:00:00.000Z
82192.6503765554284899,1731326400000,19780725.0000000000000000,2024-11-11T12:00:00.000Z
82305.6316572504570201,1731330000000,19780740.0000000000000000,2024-11-11T13:00:00.000Z
81892.1222060263765063,1731333600000,19780740.0000000000000000,2024-11-11T14:00:00.000Z
82511.9495330927194806,1731337200000,19780765.0000000000000000,2024-11-11T15:00:00.000Z
84011.4070960425552228,1731340800000,19780765.0000000000000000,2024-11-11T16:00:00.000Z
84137.6214288649136808,1731344400000,19780803.0000000000000000,2024-11-11T17:00:00.000Z
84717.9256249408767308,1731348000000,19780803.0000000000000000,2024-11-11T18:00:00.000Z
85597.2493579422739080,1731351600000,19780840.0000000000000000,2024-11-11T19:00:00.000Z
86178.4477368882806284,1731355200000,19780840.0000000000000000,2024-11-11T20:00:00.000Z
86980.4479690894001307,1731358800000,19780884.0000000000000000,2024-11-11T21:00:00.000Z
87780.1701216797713716,1731362400000,19780884.0000000000000000,2024-11-11T22:00:00.000Z
87567.5245072001347157,1731366000000,19780915.0000000000000000,2024-11-11T23:00:00.000Z
88542.8992731206483866,1731369600000,19780915.0000000000000000,2024-11-12T00:00:00.000Z
88571.1183912530064829,1731373200000,19780975.0000000000000000,2024-11-12T01:00:00.000Z
88473.4286552581140315,1731376800000,19780975.0000000000000000,2024-11-12T02:00:00.000Z
87349.8572180589566556,1731380400000,19780996.0000000000000000,2024-11-12T03:00:00.000Z
87901.3477256431503223,1731384000000,19780996.0000000000000000,2024-11-12T04:00:00.000Z
88469.5748890533720922,1731387600000,19781056.0000000000000000,2024-11-12T05:00:00.000Z
88357.6614180232746910,1731391200000,19781056.0000000000000000,2024-11-12T06:00:00.000Z
89467.8168244332399618,1731394800000,19781081.0000000000000000,2024-11-12T07:00:00.000Z
89052.0211304501611843,1731398400000,19781081.0000000000000000,2024-11-12T08:00:00.000Z
89157.0797556335963732,1731402000000,19781106.0000000000000000,2024-11-12T09:00:00.000Z
87871.2027621442962208,1731405600000,19781106.0000000000000000,2024-11-12T10:00:00.000Z
86252.0178664573211882,1731409200000,19781140.0000000000000000,2024-11-12T11:00:00.000Z
87114.6325025255592230,1731412800000,19781140.0000000000000000,2024-11-12T12:00:00.000Z
86351.6782943413914012,1731416400000,19781140.0000000000000000,2024-11-12T13:00:00.000Z
85899.2736287122373820,1731420000000,19781178.0000000000000000,2024-11-12T14:00:00.000Z
86876.4074298465296632,1731423600000,19781178.0000000000000000,2024-11-12T15:00:00.000Z
86609.3489826284623337,1731427200000,19781221.0000000000000000,2024-11-12T16:00:00.000Z
87228.9827729700723348,1731430800000,19781221.0000000000000000,2024-11-12T17:00:00.000Z
87133.2529210104728067,1731434400000,19781271.0000000000000000,2024-11-12T18:00:00.000Z
88774.2097333307997164,1731438000000,19781271.0000000000000000,2024-11-12T19:00:00.000Z
88833.0313465515465687,1731441600000,19781303.0000000000000000,2024-11-12T20:00:00.000Z
89525.8694900983189352,1731445200000,19781303.0000000000000000,2024-11-12T21:00:00.000Z
88194.0154571643430646,1731448800000,19781353.0000000000000000,2024-11-12T22:00:00.000Z
88487.8803446074582666,1731452400000,19781353.0000000000000000,2024-11-12T23:00:00.000Z
88011.7164138496347479,1731456000000,19781418.0000000000000000,2024-11-13T00:00:00.000Z
88182.7934021073692854,1731459600000,19781418.0000000000000000,2024-11-13T01:00:00.000Z
88235.6226673652180560,1731463200000,19781446.0000000000000000,2024-11-13T02:00:00.000Z
87859.4800112101185417,1731466800000,19781446.0000000000000000,2024-11-13T03:00:00.000Z
87405.9966893900828943,1731470400000,19781475.0000000000000000,2024-11-13T04:00:00.000Z
87101.6090933688188707,1731474000000,19781475.0000000000000000,2024-11-13T05:00:00.000Z
86640.6376125709999036,1731477600000,19781496.0000000000000000,2024-11-13T06:00:00.000Z
86546.4696028597778148,1731481200000,19781496.0000000000000000,2024-11-13T07:00:00.000Z
87442.3783918091567486,1731484800000,19781531.0000000000000000,2024-11-13T08:00:00.000Z
87305.8881570228919245,1731488400000,19781531.0000000000000000,2024-11-13T09:00:00.000Z
87503.0361682565078617,1731492000000,19781568.0000000000000000,2024-11-13T10:00:00.000Z
87614.3409562759371313,1731495600000,19781568.0000000000000000,2024-11-13T11:00:00.000Z
87790.6308218503866010,1731499200000,19781600.0000000000000000,2024-11-13T12:00:00.000Z
87853.4241868830583704,1731502800000,19781600.0000000000000000,2024-11-13T13:00:00.000Z
