exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,37.767443476543006516000000000000000000,31131603400.8143564348726818,557,True,https://www.binance.com/,1733801142855
crypto,Crypto.com Exchange,2,9.663798451972790390000000000000000000,7965843410.5839165801073697,108,False,https://api.crypto.com/,1733801100477
digifinex,DigiFinex,3,8.024567325059389801000000000000000000,6614629544.1480434037988771,122,False,https://www.digifinex.com/,1733801138791
whitebit,WhiteBIT,4,7.311497081432254921000000000000000000,6026847635.2319784251105025,107,False,https://whitebit.com,1733801138834
gdax,Coinbase Pro,5,7.182603794993243550000000000000000000,5920601241.3785240251616503,210,True,https://pro.coinbase.com/,1733801142588
gate,Gate,6,5.111222160137424875000000000000000000,4213166858.4260987879465611,1039,False,https://gate.io/,1733801143010
lbank,LBank,7,3.135295826890980442000000000000000000,2584416027.1960408545191413,111,False,https://www.lbank.info,1733801123598
kraken,Kraken,8,2.763910300395660260000000000000000000,2278283923.5805054580601063,293,False,https://kraken.com,1733801142850
currency-com,Currency.com,9,2.433441545946565921000000000000000000,2005879406.5456126726840138,42,False,https://currency.com/,1733801142880
kucoin,Kucoin,10,2.188422733516474427000000000000000000,1803911049.8828244786344338,515,False,https://www.kucoin.io/,1733801137691
huobi,Huobi,11,2.100359756536759893000000000000000000,1731320971.7291294215412844,196,True,https://www.hbg.com/,1733801140754
bigone,BigONE,12,2.080890988727315427000000000000000000,1715272918.1053090672552906,58,False,https://big.one/,1733801141215
bitmax,AscendEX (Bitmax),13,1.845914362517970178000000000000000000,1521582308.8864421415229634,140,False,https://www.bitmax.io/,1733801143036
tidex,Tidex,14,1.145561620751821240000000000000000000,944283402.9946944592428872,26,False,https://tidex.com/,1733801141279
uniswap-42161-univ3,UNISWAP UNIV3 (Arbitrum),15,0.906111111173316264000000000000000000,746904983.5909341691689391,4,True,https://uniswap.org/,1733801142455
bitfinex,Bitfinex,16,0.772108346180945896000000000000000000,636446860.1294925756800725,132,True,https://bitfinex.com,1733801086697
bitstamp,Bitstamp,17,0.764044585980642389000000000000000000,629799924.0023216367585198,89,True,https://www.bitstamp.net/,1733801113113
probit,ProBit,18,0.629411415143607689000000000000000000,518822158.6765893185846443,310,False,https://www.probit.com/en-us/,1733801137142
hitbtc,HitBTC,19,0.506255920651084676000000000000000000,417305411.4931671503679498,229,True,https://hitbtc.com/,1733801143047
dex-trade,Dex-Trade,20,0.465552056378035948000000000000000000,383753324.2247725909737293,75,False,https://dex-trade.com/,1733801141172
yobit,YoBit,21,0.391089741939602773000000000000000000,322374236.0997369887370228,11,False,https://yobit.net,1733801142751
btcturk,BTCTurk,22,0.358947507655176420000000000000000000,295879477.7033867928176913,83,False,https://www.btcturk.com/,1733801136918
gemini,Gemini,23,0.334660786168700795000000000000000000,275859997.6532586321071051,58,True,https://gemini.com/,1733800882634
bibox,Bibox,24,0.265984451989293329000000000000000000,219250277.6963598147072147,132,False,https://www.bibox.com,1733801110283
bitkub,Bitkub,25,0.191779442484879580000000000000000000,158083285.3453985306365476,45,False,https://www.bitkub.com/,1733801125631
coincheck,coincheck,26,0.185201316986113069000000000000000000,152660953.9589605068363142,1,False,coincheck,1733801141680
uniswap-8453-univ3,UNISWAP UNIV3 (Base),27,0.178831103460148322000000000000000000,147410003.8597829110614201,2,True,https://uniswap.org/,1733801118616
uniswap-1-univ3,UNISWAP UNIV3 (Ethereum),28,0.152813225137883232000000000000000000,125963535.8254169724748703,2,True,https://uniswap.org/,1733801104244
bitbank,Bitbank,29,0.129918534626633525000000000000000000,107091503.2129025798303902,4,False,https://www.bibank.com,1733801142912
exmo,Exmo,30,0.113641006740521843000000000000000000,93673980.1864668692154720,118,False,https://www.exmo.com/,1733801094986
pancake-42161-univ3,PANCAKE UNIV3 (Arbitrum),31,0.107676403733198876000000000000000000,88757373.7610779753679238,3,True,https://pancakeswap.finance/,1733801138416
independentreserve,Independent Reserve,32,0.104837047019888941000000000000000000,86416899.5596111717205960,96,False,https://www.independentreserve.com/,1733801140669
luno,Luno,33,0.068284542597272536000000000000000000,56286767.1957891666385587,24,True,https://www.luno.com/,1733801142983
bitso,Bitso,34,0.061891620133407588000000000000000000,51017098.1793832480202423,27,True,https://www.bitso.com/,1733801104988
indodax,Indodax,35,0.059198924013566305000000000000000000,48797515.9157895997332305,158,False,https://indodax.com/,1733801090675
alterdice,Alterdice,36,0.058133785628979869000000000000000000,47919525.1728756925033322,1,False,https://alterdice.com/,1733801142624
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),37,0.049615427753875753000000000000000000,40897865.3891349137028291,2,True,https://uniswap.org/,1733801135627
