data_id,title,content,source_link,datetime_published,image_url,status
news/finance/30203892/,"South Korea’s Political Crisis Boosts Crypto Trade,US stocks","Amid South Korea’s ongoing political crisis, local investors are flocking to alternative assets such as cryptocurrency trading and US shares, even as local stocks continue to fall.
Rising Crypto Trading Volume , US Shares in South Korea
According to the Korean media outlet
Korea Herald
, as of last Friday afternoon at 3:30 PM, the 24-hour trading volume of the top five crypto exchanges in South Korea i.e., Upbit, Bithumb, Coinone, Korbit, and Gopax was $14.59 billion. This figure is equivalent to 20.72 trillion Korean won, nearly twice the trading volume of the Kospi that day, which was 10.48 trillion Korean won.
As of today, Upbit has registered a 24-hour trading volume of $11.34 billion. Another leading crypto exchange, Bithumb, has reported a 24-hour trading volume of $3.63 billion. Korbit and Coinone recorded 24-hour trading volumes of $102 million and $317 million, respectively. According to data analytics from
Messari
, Gopax saw a 24-hour trading volume of $1.34 million.
Apart from this, South Korean investors are increasingly investing in U.S. shares as they lose faith in the local stock market.
While the Korea Composite Stock Price Index (Kospi) dropped to a low of under 2,400, closing at 2,360.58 on Monday, retail investors are pouring money into U.S. stocks.
Also Read: South Korea’s Political Turmoil Intensifies: Impact on Bitcoin and Crypto Industry
According to the Korea Securities Depository, local Korean investors traded shares worth $63.49 billion in the U.S. market last month. In fact, investors are also turning to Tesla shares, which have become the top choice for Korean investors, with transaction volumes reaching $7.7 billion.
Moreover, the KOSDAQ Index in South Korea plummeted 5% intraday, while the decline in the South Korean Kospi Index expanded to 2.6%, painting a stark picture of growing dissatisfaction among the general population regarding market trends.
This volatility in the stock market highlights the grave repercussions of President Yoon Suk Yeol’s unexpected declaration of martial law, following which South Korean officials in charge of the anti-corruption investigation office imposed a travel ban on President Yoon Suk Yeol.
Market analysts project that investment flows could shift further toward overseas markets.
At the same time, the value of the Korean won against the U.S. dollar plunged to 1,437 won during intraday trading and failed to recover by the end of the trading day.
Local media reports stated, “Korean investors bought U.S. shares worth $1.3 billion on Thursday, a 6.4% decline from the previous day. On Friday, purchases fell to $1.12 billion, down by 14%. Sales also plunged by 10% and 21.3% on Thursday and Friday, respectively.”
“The won-dollar exchange rate is likely to fluctuate in the 1,400-won range, considering that the political chaos is likely to continue with discussions of Yoon Suk Yeol’s impeachment,” analyst Lee Jae-man from Hana Securities said.",https://www.cryptonewsz.com/south-koreas-political-crypto-trade-us-stocks/?utm_source=CryptoNews&utm_medium=app,2024-12-10 04:35:54.892696,https://cnews24.ru/uploads/285/285afd29cf7366250f01ac53909e35a7be9f68fd.webp,Successfully Scraped
news/bitcoin/30203677/,Bitcoin Cycle Top Still Ahead? Key Levels to Watch,"Bitcoin’s upward momentum shows no signs of slowing down, with analysts suggesting the market cycle top may still be ahead. According to Titan of Crypto, a market analyst, the token’s monthly RSI indicates further growth prospects. Historically, cycle tops in 2013, 2017, and 2021 coincided with the RSI reaching the overbought zone, a threshold that remains untested in the current bull market.
The shared analysis highlights Bitcoin’s consistent cyclical patterns, showing that corrections are a normal part of the climb toward new highs. Titan of Crypto’s chart reveals that Bitcoin is following an upward trajectory, with the trend line suggesting a possible push toward a new all-time high. The analyst encourages traders to focus on the bigger picture,
reminding them
, “When in doubt, zoom out.”
Bitcoin’s Key Levels to Watch
Since mid-November, Bitcoin has climbed within an ascending channel, steadily building momentum as its price approached a critical resistance near $99,661. This surge was briefly interrupted by a retracement to $90,767, where the bulls regrouped and reignited the rally. Riding this wave of enthusiasm, the token shattered the $100,000 milestone, soaring to a new all-time high of $103,900.
However, this uptick was followed by a natural pullback, with the cryptocurrency finding solid footing just below the 78.6% Fibonacci retracement level at $94,208. From there, Bitcoin has stabilized, trading at $97,727 at press time—marking a modest 1.92% dip over the past 24 hours. At this level, the BTC token hovers near the lower boundary of the ascending channel, a zone that historically acts as a springboard for price recoveries.
Should this trend hold, BTC could soon retest its prior highs, with $101,430 emerging as the immediate hurdle. A successful breakthrough here may pave the way for the cryptocurrency to challenge its all-time high, setting its sights on new heights. In this scenario, Bitcoin could ascend to uncharted territory around $114,004—a 16% leap from its current value—by year’s end.
This outlook is further bolstered by Titan of Crypto’s ambitious projection of $160,000, reflecting growing market optimism. On the flip side, should the BTC cryptocurrency fail to maintain support near the 78.6% Fibonacci level at $95,978, a retest of $91,000—the price last seen on December 5—may be in play.
A further slide toward the 61.8% Fibonacci retracement at $89,746 could spell trouble, possibly invalidating the bullish structure. Such a development might signal a lower low, sparking concerns of a trend reversal and shifting the market sentiment toward bearish territory.",https://www.cryptonewsz.com/bitcoin-cycle-top-still-ahead-levels-to-watch/?utm_source=CryptoNews&utm_medium=app,2024-12-10 04:33:55.649751,https://cnews24.ru/uploads/e47/e473341703d935757c2c6e772d0f440dcaabe173.webp,Successfully Scraped
news/analytics/30203840/,XRP Price Prediction For December 10,"XRP has slipped to the fourth position and is down by more than 14 percent in the last 24 hours. The price is slightly trading above the $2 level at the time of writing. XRP has tested a key breakout point and the 2021 high, and this retest has resulted in a strong rebound. However, the price has not yet surpassed any previous highs, indicating that further movement is needed to establish an upward trend.
The current market structure suggests that XRP may still be in the fourth wave of a larger correction. After a three-wave decline in wave A, followed by a three-wave rise in wave B, XRP is now experiencing the C-wave decline. Despite the rebound, the price has not surpassed previous highs, which means further movement is needed for confirmation of an upward trend.
Potential for More Downside
Despite the rebound, it is still possible, even likely, that we could see one more low. There is no confirmation yet that the low has been established. During liquidity events, such as those we’ve been seeing recently, rapid price movements make it difficult to pinpoint the micro-structure of the waves. While another dip cannot be ruled out, it’s important to note that the price has already hit the 100% extension of the A-wave, which is a common target for a C-wave.
Next Support Levels
If the price continues to move downward, the next support levels to watch are around $1.85, where we see an overlap of two key support zones, followed by $1.78 and $1.66. The market is still following the forecasted path, and it’s crucial to monitor how the broader crypto market, including Bitcoin, behaves, as this could impact XRP’s next move.",https://coinpedia.org/news/news/xrp-price-prediction-for-december-10/?utm_source=CryptoNews&utm_medium=app,2024-12-10 04:26:56.051406,https://cnews24.ru/uploads/862/8624d761f89719e7a27f32a31c1ac359277795b3.webp,Successfully Scraped
news/analytics/30203855/,Here’s Why The Dogecoin Price Can Reach $10 This Cycle,"Dogecoin ($DOGE) has been demonstrating strong upward momentum in recent weeks, with technical indicators showing that it is poised to reach new price levels. Currently, the crypto has exited the oversold zone and is approaching the overbought territory.",https://coingape.com/heres-why-the-dogecoin-price-can-reach-10-this-cycle/?utm_source=CryptoNews&utm_medium=app,2024-12-10 04:25:56.430423,https://cnews24.ru/uploads/061/061c050a7dca5712a9658fd1c268202b289cbd53.webp,Successfully Scraped
news/analytics/30203729/,UniSwap (UNI) Price at Risk as Whale Dumps $16.7M Worth of Tokens,"UNI, the native token of UniSwap, appears to be struggling and is poised for further price declines as whales and institutions shift their interest. On December 10, 2024, the whale transaction tracker Lookonchain posted on X (formerly Twitter) that a high-profile trading firm, Cumberland, had dumped a significant 989,520 UNI tokens worth $16.73 million.
The firm dumped these substantial tokens on Binance, Coinbase, OKX, and Robinhood. Additionally, the sell-off began shortly after UNI’s price dropped by 10%.
UNI Current Price Momentum
With this, UNI’s sentiment appears to be bearish. Currently, UNI is trading near $16 and has experienced a price decline of 14% in the past 24 hours.
6 hours ago, #Cumberland deposited 989,520 $UNI($16.73M) into #Binance, #Coinbase, #OKX and #Robinhood.
Shortly after, the price of $UNI plummeted by 10%.https://t.co/NEApv5b20p pic.twitter.com/ncT8feFImZ
— Lookonchain (@lookonchain) December 10, 2024
During the same period, its trading volume surged by 15%, indicating heightened participation from traders and investors amid a bearish outlook, which suggests that further price declines are expected in the future.
UNI Technical Analysis and Upcoming Levels
The recent price decline has brought UNI to the crucial $16 level, which was a breakout point. UNI was expected to retest this level, but the price decline has brought it here sooner than anticipated. Based on expert technical analysis, if UNI holds above $14.90, there is a strong possibility it could soar by 20% to reach the $19.75 level in the coming days.
Source: Trading View
Conversely, if UNI fails to hold this level and closes a daily candle below $14.90, there is a strong possibility it could drop by 24% to reach the $11.30 level in the coming days.",https://coinpedia.org/news/news/uniswap-uni-price-at-risk-as-whale-dumps-16-7m-worth-of-tokens/?utm_source=CryptoNews&utm_medium=app,2024-12-10 04:09:56.810865,https://cnews24.ru/uploads/82b/82bda131f4797bd93b2b655216f3bea3739ab708.jpg,Successfully Scraped
news/analytics/30203651/,"PEPE Defies the Market Trend, Eyes on 30% Rally","Pepe (PEPE), the popular third-largest crypto meme coin, is making waves and gaining widespread attention from crypto enthusiasts. On December 10, 2024, PEPE is outperforming major cryptocurrencies and defying the market trend with its impressive performance.
PEPE Current Price Momentum
PEPE is trading near $0.00002725 at press time, having recorded a price gain of over 3.50% in the past 24 hours. During the same period, its trading volume increased by 16%, indicating heightened participation from traders and investors compared to the previous day.
However, this modest price surge comes during a period when the majority of cryptocurrencies, including Bitcoin (BTC), Ethereum (ETH), and Solana (SOL), are struggling to gain momentum.
PEPE Technical Analysis
With this recent price surge, PEPE has reached a crucial level of $0.00002750, which currently represents a make-or-break situation for the meme coin. According to CoinPedia’s technical analysis, if PEPE closes a four-hour candle above $0.00002750, there is a strong possibility it could soar by 30% to reach $0.000036 in the coming days.
Source: Trading View
On the other hand, if PEPE fails to hold above the $0.000024 level, this bullish thesis may be invalidated. PEPE’s Relative Strength Index (RSI) suggests a potential upside rally in the coming days, as it remains below the overbought zone.
Notable Outflow
Beyond technical analysis, whales and investors seem to be dumping their holdings on exchanges, as reported by the on-chain analytics firm Coinglass. Data from PEPE’s spot inflow/outflow revealed that exchanges have witnessed significant outflows over the past two days.",https://coinpedia.org/news/news/pepe-defies-the-market-trend-eyes-on-30-rally/?utm_source=CryptoNews&utm_medium=app,2024-12-10 03:09:57.200010,https://cnews24.ru/uploads/478/478232c94f04b9808e003bc8d7254c29dcf0900a.webp,Successfully Scraped
news/ethereum/30203600/,"Diamond-hand Whale Deposits Massive 11,639 ETH ($46.37M) to Kraken. Is Price Correction Looming?","Currently, Ethereum has witnessed a huge increase in profit-taking transactions. On December 9, Spot on Chain detected a diamond-hand whale who deposited the remaining of his 11,639 ETH tokens to Kraken. The move, which amounts to $46.37 million at the current market price, has captured the market’s attention.
As reported by the on-chain tracker, this whale in the past withdrew 96,639 ETH from Coinbase at $1,580 in September 2022. The investor later deposited all of the amounts to Kraken at $3,080 between March and December 2024. If these were indeed trades, the investor would have gained approximately $145 million (95% profit) in 2.25 years, Spot on Chain highlighted.
More whales with massive profits seem to be cashing in on $ETH!
8 hours ago, the diamond-hand whale ""0x682"" deposited the remaining 11,639 $ETH ($46.37M) to #Kraken.
This whale had previously withdrawn 96,639 $ETH from #Coinbase at ~$1,580 in Sep 2022 and later deposited it all… https://t.co/lTOxqp8A6L pic.twitter.com/0Id5dMyLZL
— Spot On Chain (@spotonchain) December 9, 2024
Whale lose patience
Diamond-hand whales are big crypto holders who resist selling their tokens despite inherent price fluctuations. They have a strong belief in the long-term prospect of their holdings. In this case, the Ether whale, whose wallet holds a large amount of Ethereum tokens, surprised the market with the huge transfer.
Of late, large investors, popularly known as crypto whales, increasingly resurface in the market, seeking to make gains amid the rejuvenated price increase. On-chain data shows big transfers of major assets to exchanges. This appears to cause a short-term correction in many assets following weeks of price uptick. Typically, the bull cycle influences big investors to buy assets and later sell them for profit. Although dumping tokens on exchanges might cause price correction, market participants see it as a natural course of events.
Large Ether transactions surge
Ethereum has experienced a steady rise of huge transactions, with weekly volumes hitting $17.15 billion (an increase of over 300%) before settling down to $7 billon currently. This is attributed to increased whale activity, aligning with the current Ether’s price spike. The rise has ignited curiosity about Ether’s price movement and the impact of these transactions.
Typically, the steady increase in the number of big investor transactions indicates increased high-net-worth activity. The rise coincides with Ether’s recent surge to $4,080, showing that some whales could be redistributing holdings or taking profits.
ETH price might see a short-term correction
As highlighted above, such trading activities have an impact on ETH prices. Current on-chain metrics indicate that ETH Exchange Netflow has been positive, meaning investors are depositing a net number of tokens into platforms. The key reason holders transfer their tokens to these platforms is to sell to make returns. However, this trend could cause the asset’s price to become bearish. Ether is currently trading below $4,000 and showing some bearish signs.
The asset is currently trading at $3,940.18, up 7.40% in the last seven days. On-chain data indicates a likely short-term price correction after the crypto’s 35% uptrend momentum over the past 30 days. ETH recently soared above the $4,000 level, prompting concerns that it was overbought.
As its value rises to this key resistance level, the metrics indicate a selling pressure could heighten, possibly causing a fallback before any further upward trend. ETH’s price is displaying a few bearish signs below the $3,922 support. The token could take a bearish momentum if it potentially moves below $3,700.",https://blockchainreporter.net/diamond-hand-whale-deposits-massive-11639-eth-46-37m-to-kraken-is-price-correction-looming/?utm_source=CryptoNews&utm_medium=app,2024-12-10 03:09:57.595305,https://cnews24.ru/uploads/29e/29e0e34e0a585c8a2045cd0e8b9f4f84a6ac1355.webp,Successfully Scraped
news/bitcoin/30203565/,Bitcoin and Ethereum ETFs Add Billions Amid Record Week: CoinShares,"Spot Bitcoin and Ethereum exchange-traded funds have witnessed an unprecedented appetite from institutional investors this year, and the numbers, particularly in December, continue to impress.
A record-breaking $3.85 billion flowed into digital asset funds last week, fueled by Wall Street's insatiable demand, according to a CoinShares report on Monday.
BlackRock's iShares ETFs accounted for $3.2 billion of those inflows, taking its total value of crypto assets under management to $56.7 billion.
Inflows into Ethereum products also hit a fresh all-time high of $1.2 billion last week, surpassing volumes seen when the Securities and Exchange Commission first approved U.S. spot ETH ETFs in July, CoinShares reported.
The U.S. has now cemented itself as the primary market for digital asset investment products, representing $3.6 billion in total inflows.
Switzerland was in distant second place at $160 million—followed by Germany, Canada, and Australia.
All of this comes amid speculation that ETFs tracking the value of smaller cryptos, like
XRP
or
Solana
, could be given the green light to launch after Donald Trump returns to the Oval Office in January.
Last week, it was confirmed Wall Street ETF issuers now collectively own more Bitcoin than anyone else,
including the crypto's pseudonymous creator
, Satoshi Nakamoto.
The total market cap of Bitcoin ETFs is now $109 billion,
CoinGlass data shows
—more than MicroStrategy and Binance combined. MicroStrategy is the largest corporate treasury holder of Bitcoin, while Binance is the world’s top cryptocurrency exchange by trading volume.
However, analysis from CryptoQuant suggests all of this buying activity has been outgunned by selloffs by long-term Bitcoin holders, who have offloaded 827,783 BTC over the past 30 days.
🚨Long-Term Holders sold 827,783 BTC in 30 days.
This is one of the bearish on-chain signals behind this BOLT statement.
A thread on more key signals behind this claim📉👇 https://t.co/C2M9CHM83c pic.twitter.com/NgIBf8i3Vm
— Maartunn (@JA_Maartun) December 8, 2024
That could explain why Bitcoin has struggled to maintain momentum above $100,000 since hitting the milestone price for the first time last week. As of this writing, Bitcoin’s price is near $97,000 after falling below the six-figure value on Monday.
BTC's growth—which eventually led to a market cap above $2 trillion and made it more valuable than the Australian dollar—has widely been attributed to institutional interest through ETFs rather than everyday investors.
Trump's imminent return to the White House, driven by a slew of pro-Bitcoin promises, is also playing a role. He's now appointed a ""crypto czar"" in the form of entrepreneur
David Sacks
, with
Paul Atkins
picked to lead the SEC. Industry stalwarts view Atkins as a crypto-friendly candidate slated to end a hostile regime imposed during current SEC chair Gary Gensler's tenure.
Independent financial commentator Chris Skinner, who runs The Finanser blog, told
Decrypt
the president-elect ""has made cryptocurrencies respectable.""
""The result is that ETFs will blossom over the next four years, as will the whole cryptocurrency sector,"" he wrote in an email. ""This is not a Bitcoin play, but a play on the institutionalization of cryptocurrency, which the libertarians never wanted but was inevitable.""
Edited by Sebastian Sinclair",https://decrypt.co/295733/bitcoin-and-ethereum-etfs-add-billions-amid-record-week-coinshares?utm_source=CryptoNews&utm_medium=app,2024-12-10 02:09:57.971545,https://cnews24.ru/uploads/788/7883b666bf3e7cc43cd79f51cf41a18b27fa463a.png,Successfully Scraped
news/legal/30203542/,Crypto advocacy groups target SEC’s Crenshaw in new Ad campaign,"Industry-backed crypto advocacy groups have launched targeted campaigns against the renomination of Caroline Crenshow in SEC. The campaigns are led from two ends, with CEDAR Innovation Foundation leading an online onslaught in social media, while Blockchain Association and DeFi Education Fund are writing to the U.S. Senate Committee on Banking, Housing, and
Urban Affairs.
Through X, Crenshaw is accused of being anti-crypto more than the outgoing chair of the commission, Gary Gensler. The
advocacy group
launched a new five-figure digital ad campaign that will be shared across all social media platforms in Washington, DC. The ad addresses lawmakers, urging them to reject Democratic commissioner Crenshaw’s renomination to the SEC.
The Senate Banking Committee is scheduled to vote on Crenshow’s renomination on Wednesday morning. If the House confirms her, Crenshaw will serve on the commission until June 2029, which advocates feel will undermine cryptocurrency as a whole.
Blockchain Association and DeFi Educational Fund write to the committee
As the campaign against Crenshaw is picking momentum in social media, the Blockchain Association and DeFi Education Fund have written a
letter
to the Senate to do their representation duty by voting against Crenshaw’s renomination.
The letter details several justifications as to why Crenshaw is not fit to hold a seat on the SEC. The group feels like Crenshaw can not uphold the rule of law. They cited a case where she has operated with impunity while overlooking the court’s position.
Crenshaw blatantly refused to approve spot Bitcoin ETP despite the DC Circuit Courts confirming that there is no justifiable reason for them to reject it. According to the advocacy groups, Crenshaw’s character doesn’t embody the SEC’s merit-neutral mission or the needs of American investors—including the one-fifth of Americans who own digital assets.
America’s incoming administration is taking an interest in crypto
The Senate is urged to reject her and the failed policies of the past instead of approving the nomination, which will have extreme consequences for crypto lovers. President-elect Donald Trump appears interested in digital assets and has committed to forming a special crypto reserve.
Trump said that America must start warming towards crypto, or it will be left behind. He highlights how other countries are leveraging crypto for their growth. He pointed to the United Arab Emirates as a valid example of a nation that has embraced crypto and has made progressive policies in the sector.",https://www.cryptopolitan.com/crypto-advocacy-groups-target-secs-crenshaw/?utm_source=CryptoNews&utm_medium=app,2024-12-10 02:09:58.357963,https://cnews24.ru/uploads/185/18503631966ae0035db40d6a0fb1c458e6c92681.webp,Successfully Scraped
news/bitcoin/30203609/,"Peter Schiff Says Biden Selling All US Bitcoin Would Be ""Good,"" Here's Why",Renowned economist Peter Schiff has made another bold statement against Bitcoin. Schiff stated that Joe Biden’s government selling all the country’s BTC holdings would be a good thing and further explained why such a move would benefit the US.,https://coingape.com/peter-schiff-says-biden-selling-all-us-bitcoin-would-be-good-heres-why/?utm_source=CryptoNews&utm_medium=app,2024-12-10 01:09:58.746678,https://cnews24.ru/uploads/88d/88d5b7cd22c2e37532fdcd95c5bd8a7b52f5c2db.jpg,Successfully Scraped
